id	item_group_id	title	description	link	image_link	additional_image_link	availability	price	sale_price	brand	gtin	mpn	identifier_exists	condition	product_type	google_product_category	color	size	material	age_group	shipping	shipping_weight	product_length	product_width	product_height	product_detail	custom_label_0
87	86	Thread — Minimalist Line Art Print - 20″ x 30″, Matte	Thread at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Thread — minimalist line art print by Lineal Prints. One continuous black line, wound slowly toward its own centre. A single unbroken line starts at the outer edge and spirals inward, the gaps tightening evenly until it ends at a small hook in the centre. Thread is the most popular piece in Series 01: simple enough to disappear into a room, precise enough to reward a second look. It is drawn as one line, and printed at high resolution so the line stays crisp even at 24×36 inches. Where it lives: nurseries, bedrooms and meditation spaces. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.	https://linealprints.com/product/thread-minimalist-line-art-print/?variant=87	https://linealprints.com/wp-content/uploads/2026/09/1922893141921932037_2048.jpeg	https://linealprints.com/wp-content/uploads/2026/09/4548575995230122155_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/2713353941438490275_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/10109952277758794381_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/3532724527663380414_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/15765874862924984550_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/5863861675931913656_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/10882564609232431427_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/9836327261373787990_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4585498703862818991_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4078244996345307742_2048.jpeg	in stock	49.00 USD		Lineal Prints		98717018618705327074	yes	new	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Black on off-white	20″ x 30″	Museum-grade matte paper, 175 gsm	adult	US::Standard:6.90 USD	0.48 lb	30 in	20 in	0.02 in	Series:Series 01	Lineal Prints
88	86	Thread — Minimalist Line Art Print - 12″ x 18″, Matte	Thread at 12 in x 18 in on museum-grade matte paper. Unframed; fits a standard 12 x 18 frame. Thread — minimalist line art print by Lineal Prints. One continuous black line, wound slowly toward its own centre. A single unbroken line starts at the outer edge and spirals inward, the gaps tightening evenly until it ends at a small hook in the centre. Thread is the most popular piece in Series 01: simple enough to disappear into a room, precise enough to reward a second look. It is drawn as one line, and printed at high resolution so the line stays crisp even at 24×36 inches. Where it lives: nurseries, bedrooms and meditation spaces. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.	https://linealprints.com/product/thread-minimalist-line-art-print/?variant=88	https://linealprints.com/wp-content/uploads/2026/09/3532724527663380414_2048.jpeg	https://linealprints.com/wp-content/uploads/2026/09/1922893141921932037_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4548575995230122155_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/2713353941438490275_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/10109952277758794381_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/15765874862924984550_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/5863861675931913656_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/10882564609232431427_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/9836327261373787990_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4585498703862818991_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4078244996345307742_2048.jpeg	in stock	29.00 USD		Lineal Prints		10131095161184038857	yes	new	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Black on off-white	12″ x 18″	Museum-grade matte paper, 175 gsm	adult	US::Standard:6.90 USD	0.26 lb	18 in	12 in	0.02 in	Series:Series 01	Lineal Prints
89	86	Thread — Minimalist Line Art Print - 24″ x 36″, Matte	Thread at 24 in x 36 in on museum-grade matte paper. Unframed; fits a standard 24 x 36 frame. Thread — minimalist line art print by Lineal Prints. One continuous black line, wound slowly toward its own centre. A single unbroken line starts at the outer edge and spirals inward, the gaps tightening evenly until it ends at a small hook in the centre. Thread is the most popular piece in Series 01: simple enough to disappear into a room, precise enough to reward a second look. It is drawn as one line, and printed at high resolution so the line stays crisp even at 24×36 inches. Where it lives: nurseries, bedrooms and meditation spaces. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.	https://linealprints.com/product/thread-minimalist-line-art-print/?variant=89	https://linealprints.com/wp-content/uploads/2026/09/9836327261373787990_2048.jpeg	https://linealprints.com/wp-content/uploads/2026/09/1922893141921932037_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4548575995230122155_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/2713353941438490275_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/10109952277758794381_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/3532724527663380414_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/15765874862924984550_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/5863861675931913656_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/10882564609232431427_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4585498703862818991_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4078244996345307742_2048.jpeg	in stock	59.00 USD		Lineal Prints		21487106168293951472	yes	new	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Black on off-white	24″ x 36″	Museum-grade matte paper, 175 gsm	adult	US::Standard:6.90 USD	0.604 lb	36 in	24 in	0.02 in	Series:Series 01	Lineal Prints
90	86	Thread — Minimalist Line Art Print - 16″ x 24″, Matte	Thread at 16 in x 24 in on museum-grade matte paper. Unframed; fits a standard 16 x 24 frame. Thread — minimalist line art print by Lineal Prints. One continuous black line, wound slowly toward its own centre. A single unbroken line starts at the outer edge and spirals inward, the gaps tightening evenly until it ends at a small hook in the centre. Thread is the most popular piece in Series 01: simple enough to disappear into a room, precise enough to reward a second look. It is drawn as one line, and printed at high resolution so the line stays crisp even at 24×36 inches. Where it lives: nurseries, bedrooms and meditation spaces. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.	https://linealprints.com/product/thread-minimalist-line-art-print/?variant=90	https://linealprints.com/wp-content/uploads/2026/09/5176717895531580514_2048.jpeg	https://linealprints.com/wp-content/uploads/2026/09/1922893141921932037_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4548575995230122155_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/2713353941438490275_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/10109952277758794381_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/3532724527663380414_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/15765874862924984550_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/5863861675931913656_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/10882564609232431427_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/9836327261373787990_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4585498703862818991_2048.jpeg	in stock	39.00 USD		Lineal Prints		43222297760819799909	yes	new	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Black on off-white	16″ x 24″	Museum-grade matte paper, 175 gsm	adult	US::Standard:6.90 USD	0.365 lb	24 in	16 in	0.02 in	Series:Series 01	Lineal Prints
76	74	Field — Minimalist Line Art Print - 20″ x 30″, Matte	Field at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Field — minimalist line art print by Lineal Prints. A grid of small black marks, interrupted by a perfect silence. Hundreds of short dashes fill the page in an even grid. Near the upper right, a rounded region of them is missing, leaving a quiet shape made of nothing. Field is the piece that visitors stand closest to; the pattern is precise enough to be restful and the gap gives the eye somewhere to go. It prints beautifully at every size, and the texture of the matte paper makes the marks look drawn rather than printed. Where it lives: offices, meeting rooms and studios. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.	https://linealprints.com/product/field-minimalist-line-art-print/?variant=76	https://linealprints.com/wp-content/uploads/2026/09/17824662820361544094_2048.jpeg	https://linealprints.com/wp-content/uploads/2026/09/9891569002673298313_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4058625933663755462_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/14951925933635252503_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4036255358549092278_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/13298027214445912588_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/7150158966122177210_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/5469286734592637525_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/14854840261985569041_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/960267944521365973_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/12286643963593630356_2048.jpeg	in stock	49.00 USD		Lineal Prints		10910788781368414898	yes	new	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Black on off-white	20″ x 30″	Museum-grade matte paper, 175 gsm	adult	US::Standard:6.90 USD	0.48 lb	30 in	20 in	0.02 in	Series:Series 01	Lineal Prints
77	74	Field — Minimalist Line Art Print - 12″ x 18″, Matte	Field at 12 in x 18 in on museum-grade matte paper. Unframed; fits a standard 12 x 18 frame. Field — minimalist line art print by Lineal Prints. A grid of small black marks, interrupted by a perfect silence. Hundreds of short dashes fill the page in an even grid. Near the upper right, a rounded region of them is missing, leaving a quiet shape made of nothing. Field is the piece that visitors stand closest to; the pattern is precise enough to be restful and the gap gives the eye somewhere to go. It prints beautifully at every size, and the texture of the matte paper makes the marks look drawn rather than printed. Where it lives: offices, meeting rooms and studios. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.	https://linealprints.com/product/field-minimalist-line-art-print/?variant=77	https://linealprints.com/wp-content/uploads/2026/09/4036255358549092278_2048.jpeg	https://linealprints.com/wp-content/uploads/2026/09/17824662820361544094_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/9891569002673298313_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4058625933663755462_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/14951925933635252503_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/13298027214445912588_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/7150158966122177210_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/5469286734592637525_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/14854840261985569041_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/960267944521365973_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/12286643963593630356_2048.jpeg	in stock	29.00 USD		Lineal Prints		51346111771237304788	yes	new	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Black on off-white	12″ x 18″	Museum-grade matte paper, 175 gsm	adult	US::Standard:6.90 USD	0.26 lb	18 in	12 in	0.02 in	Series:Series 01	Lineal Prints
78	74	Field — Minimalist Line Art Print - 24″ x 36″, Matte	Field at 24 in x 36 in on museum-grade matte paper. Unframed; fits a standard 24 x 36 frame. Field — minimalist line art print by Lineal Prints. A grid of small black marks, interrupted by a perfect silence. Hundreds of short dashes fill the page in an even grid. Near the upper right, a rounded region of them is missing, leaving a quiet shape made of nothing. Field is the piece that visitors stand closest to; the pattern is precise enough to be restful and the gap gives the eye somewhere to go. It prints beautifully at every size, and the texture of the matte paper makes the marks look drawn rather than printed. Where it lives: offices, meeting rooms and studios. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.	https://linealprints.com/product/field-minimalist-line-art-print/?variant=78	https://linealprints.com/wp-content/uploads/2026/09/14854840261985569041_2048.jpeg	https://linealprints.com/wp-content/uploads/2026/09/17824662820361544094_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/9891569002673298313_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4058625933663755462_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/14951925933635252503_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4036255358549092278_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/13298027214445912588_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/7150158966122177210_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/5469286734592637525_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/960267944521365973_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/12286643963593630356_2048.jpeg	in stock	59.00 USD		Lineal Prints		14968636634103866547	yes	new	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Black on off-white	24″ x 36″	Museum-grade matte paper, 175 gsm	adult	US::Standard:6.90 USD	0.604 lb	36 in	24 in	0.02 in	Series:Series 01	Lineal Prints
79	74	Field — Minimalist Line Art Print - 16″ x 24″, Matte	Field at 16 in x 24 in on museum-grade matte paper. Unframed; fits a standard 16 x 24 frame. Field — minimalist line art print by Lineal Prints. A grid of small black marks, interrupted by a perfect silence. Hundreds of short dashes fill the page in an even grid. Near the upper right, a rounded region of them is missing, leaving a quiet shape made of nothing. Field is the piece that visitors stand closest to; the pattern is precise enough to be restful and the gap gives the eye somewhere to go. It prints beautifully at every size, and the texture of the matte paper makes the marks look drawn rather than printed. Where it lives: offices, meeting rooms and studios. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.	https://linealprints.com/product/field-minimalist-line-art-print/?variant=79	https://linealprints.com/wp-content/uploads/2026/09/14170779832778071041_2048.jpeg	https://linealprints.com/wp-content/uploads/2026/09/17824662820361544094_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/9891569002673298313_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4058625933663755462_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/14951925933635252503_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4036255358549092278_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/13298027214445912588_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/7150158966122177210_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/5469286734592637525_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/14854840261985569041_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/960267944521365973_2048.jpeg	in stock	39.00 USD		Lineal Prints		65437066479820696255	yes	new	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Black on off-white	16″ x 24″	Museum-grade matte paper, 175 gsm	adult	US::Standard:6.90 USD	0.365 lb	24 in	16 in	0.02 in	Series:Series 01	Lineal Prints
66	65	Meridian — Minimalist Line Art Print - 20″ x 30″, Matte	Meridian at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Meridian — minimalist line art print by Lineal Prints. One black vertical line, one deep-blue half circle. Nothing more was needed. A vertical line divides the sheet; a half circle in deep navy attaches to its right side just below centre. Meridian is the strictest piece in Series 01, a study in how little is needed to make a page feel complete. The blue is a dark ink blue rather than a bright one, so it works with black frames, walnut and grey walls. Hang it tall: a 24×36 inch Meridian in a narrow frame is the series' signature look. Where it lives: dining rooms and long corridors. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.	https://linealprints.com/product/meridian-minimalist-line-art-print/?variant=66	https://linealprints.com/wp-content/uploads/2026/09/2608452597764565465_2048.jpeg	https://linealprints.com/wp-content/uploads/2026/09/14952575423102345744_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/13518650509812803658_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/17024589104113963140_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/5382604398684614397_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4253493320807667181_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/17036166399641866650_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4153301134501945310_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/12658673580436644073_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/17997455965881039309_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/15215467164708835989_2048.jpeg	in stock	49.00 USD		Lineal Prints		81841891115447805030	yes	new	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Black and navy blue on off-white	20″ x 30″	Museum-grade matte paper, 175 gsm	adult	US::Standard:6.90 USD	0.48 lb	30 in	20 in	0.02 in	Series:Series 01	Lineal Prints
67	65	Meridian — Minimalist Line Art Print - 12″ x 18″, Matte	Meridian at 12 in x 18 in on museum-grade matte paper. Unframed; fits a standard 12 x 18 frame. Meridian — minimalist line art print by Lineal Prints. One black vertical line, one deep-blue half circle. Nothing more was needed. A vertical line divides the sheet; a half circle in deep navy attaches to its right side just below centre. Meridian is the strictest piece in Series 01, a study in how little is needed to make a page feel complete. The blue is a dark ink blue rather than a bright one, so it works with black frames, walnut and grey walls. Hang it tall: a 24×36 inch Meridian in a narrow frame is the series' signature look. Where it lives: dining rooms and long corridors. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.	https://linealprints.com/product/meridian-minimalist-line-art-print/?variant=67	https://linealprints.com/wp-content/uploads/2026/09/5382604398684614397_2048.jpeg	https://linealprints.com/wp-content/uploads/2026/09/2608452597764565465_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/14952575423102345744_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/13518650509812803658_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/17024589104113963140_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4253493320807667181_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/17036166399641866650_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/4153301134501945310_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/12658673580436644073_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/17997455965881039309_2048.jpeg,https://linealprints.com/wp-content/uploads/2026/09/15215467164708835989_2048.jpeg	in stock	29.00 USD		Lineal Prints		10190527437435013780	yes	new	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork	Black and navy blue on off-white	12″ x 18″	Museum-grade matte paper, 175 gsm	adult	US::Standard:6.90 USD	0.26 lb	18 in	12 in	0.02 in	Series:Series 01	Lineal Prints
