Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Variant Weight Unit,Status
thread-minimalist-line-art-print,Thread — Minimalist Line Art Print,"<p>Thread at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Thread — minimalist line art print by Lineal Prints. One continuous black line, wound slowly toward its own centre. A single unbroken line starts at the outer edge and spirals inward, the gaps tightening evenly until it ends at a small hook in the centre. Thread is the most popular piece in Series 01: simple enough to disappear into a room, precise enough to reward a second look. It is drawn as one line, and printed at high resolution so the line stays crisp even at 24×36 inches. Where it lives: nurseries, bedrooms and meditation spaces. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.</p>",Lineal Prints,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork","Posters, Prints, & Visual Artwork","Museum-grade matte paper, 175 gsm, Black on off-white",TRUE,Sizes,20″ x 30″,Paper finish,Matte,,,98717018618705327074,218,continue,manual,49.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/1922893141921932037_2048.jpeg,1,Thread — Minimalist Line Art Print,"Thread — Minimalist Line Art Print - 20″ x 30″, Matte","Thread at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Thread — minimalist line art print by Lineal Prints. One continuous black line, wound slowly toward its own centre. A single unbroken line starts at the outer edge and spirals inward, the gaps tightening evenly until it ends a",lb,active
thread-minimalist-line-art-print,,,,,,,,,12″ x 18″,,Matte,,,10131095161184038857,118,continue,manual,29.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/4548575995230122155_2048.jpeg,2,Thread — Minimalist Line Art Print,,,lb,
thread-minimalist-line-art-print,,,,,,,,,24″ x 36″,,Matte,,,21487106168293951472,274,continue,manual,59.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/2713353941438490275_2048.jpeg,3,Thread — Minimalist Line Art Print,,,lb,
thread-minimalist-line-art-print,,,,,,,,,16″ x 24″,,Matte,,,43222297760819799909,166,continue,manual,39.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/10109952277758794381_2048.jpeg,4,Thread — Minimalist Line Art Print,,,lb,
thread-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/3532724527663380414_2048.jpeg,5,Thread — Minimalist Line Art Print,,,,
thread-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/15765874862924984550_2048.jpeg,6,Thread — Minimalist Line Art Print,,,,
thread-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/5863861675931913656_2048.jpeg,7,Thread — Minimalist Line Art Print,,,,
thread-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/10882564609232431427_2048.jpeg,8,Thread — Minimalist Line Art Print,,,,
thread-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/9836327261373787990_2048.jpeg,9,Thread — Minimalist Line Art Print,,,,
thread-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/4585498703862818991_2048.jpeg,10,Thread — Minimalist Line Art Print,,,,
thread-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/4078244996345307742_2048.jpeg,11,Thread — Minimalist Line Art Print,,,,
field-minimalist-line-art-print,Field — Minimalist Line Art Print,"<p>Field at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Field — minimalist line art print by Lineal Prints. A grid of small black marks, interrupted by a perfect silence. Hundreds of short dashes fill the page in an even grid. Near the upper right, a rounded region of them is missing, leaving a quiet shape made of nothing. Field is the piece that visitors stand closest to; the pattern is precise enough to be restful and the gap gives the eye somewhere to go. It prints beautifully at every size, and the texture of the matte paper makes the marks look drawn rather than printed. Where it lives: offices, meeting rooms and studios. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.</p>",Lineal Prints,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork","Posters, Prints, & Visual Artwork","Museum-grade matte paper, 175 gsm, Black on off-white",TRUE,Sizes,20″ x 30″,Paper finish,Matte,,,10910788781368414898,218,continue,manual,49.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/17824662820361544094_2048.jpeg,1,Field — Minimalist Line Art Print,"Field — Minimalist Line Art Print - 20″ x 30″, Matte","Field at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Field — minimalist line art print by Lineal Prints. A grid of small black marks, interrupted by a perfect silence. Hundreds of short dashes fill the page in an even grid. Near the upper right, a rounded region of them is missin",lb,active
field-minimalist-line-art-print,,,,,,,,,12″ x 18″,,Matte,,,51346111771237304788,118,continue,manual,29.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/9891569002673298313_2048.jpeg,2,Field — Minimalist Line Art Print,,,lb,
field-minimalist-line-art-print,,,,,,,,,24″ x 36″,,Matte,,,14968636634103866547,274,continue,manual,59.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/4058625933663755462_2048.jpeg,3,Field — Minimalist Line Art Print,,,lb,
